Mean, Std, Number, QR
0.0, 0.0, 0.0, no
7620.875, 9730.337881948139, 4.0, yes
7287.3, 13439.004396159711, 5.0, yes
7660.833333333333, 8633.500838143367, 3.0, yes
46225.0, 0.0, 1.0, no
18908.0, 0.0, 1.0, yes
8310.25, 6528.75, 2.0, yes
2811.5, 0.0, 1.0, no
0.0, 0.0, 0.0, no
14538.75, 13903.25, 2.0, yes
5191.75, 7464.551665204012, 4.0, yes
2426.75, 1489.75, 2.0, yes
2404.0, 1134.8041681276995, 3.0, yes
1734.8333333333333, 1488.9814938033612, 9.0, yes
38728.5, 0.0, 1.0, no
34677.5, 0.0, 1.0, yes
12170.75, 3488.25, 2.0, no
10261.25, 9169.25, 2.0, yes
0.0, 0.0, 0.0, yes
3422.25, 5354.980281242873, 8.0, yes
0.0, 0.0, 0.0, no
20141.5, 13148.285739023167, 4.0, yes
1927.357142857143, 1582.4767819169174, 7.0, yes
8158.166666666667, 10038.22305268993, 3.0, yes
11688.0, 0.0, 1.0, no
906.0, 371.5, 2.0, yes
45823.5, 0.0, 1.0, no
46225.0, 0.0, 1.0, no
1597.7083333333333, 1456.5647293422594, 12.0, yes
42477.0, 0.0, 1.0, no
466.25, 59.112005266837855, 6.0, yes
0.0, 0.0, 0.0, no
4009.0, 3504.314126901297, 5.0, yes
5438.083333333333, 11148.932181367067, 6.0, yes
4134.0, 7646.195976867626, 6.0, yes
4039.214285714286, 8938.268352016126, 7.0, yes
1829.2, 1860.9317854236358, 10.0, yes
43627.5, 0.0, 1.0, no
10602.0, 3542.741617260094, 3.0, yes
0.0, 0.0, 0.0, no
6681.071428571428, 13257.982106286472, 7.0, yes
10318.5, 13870.21324187195, 4.0, yes
43842.0, 0.0, 1.0, no
5914.25, 7174.875656588064, 4.0, yes
6967.333333333333, 9162.478561442253, 3.0, yes
1610.142857142857, 2022.5057781002704, 7.0, yes
0.0, 0.0, 0.0, no
32008.5, 0.0, 1.0, yes
0.0, 0.0, 0.0, no
5883.9375, 12324.571930795153, 8.0, yes
16021.5, 0.0, 1.0, yes
2358.785714285714, 2135.467059269351, 7.0, yes
42079.0, 0.0, 1.0, no
3502.285714285714, 5098.618733519493, 7.0, yes
43829.5, 0.0, 1.0, no
38474.0, 0.0, 1.0, no
7227.875, 10698.457385150206, 4.0, yes
0.0, 0.0, 0.0, no
3488.4285714285716, 4634.774184887325, 7.0, yes
3044.6, 3578.840166869708, 5.0, yes
4062.285714285714, 8739.765467011535, 7.0, yes
34416.5, 0.0, 1.0, no
3494.9375, 6835.357221085358, 8.0, yes
11792.0, 0.0, 1.0, no
42865.0, 0.0, 1.0, no
46225.0, 0.0, 1.0, no
18164.25, 18063.75, 2.0, no
2991.0, 2254.9947893509643, 3.0, yes
8993.75, 5610.25, 2.0, yes
8665.25, 8291.75, 2.0, yes
1709.3, 1459.0025565433393, 5.0, yes
22962.5, 0.0, 1.0, yes
4519.25, 2490.302604604509, 4.0, yes
11686.5, 11451.5, 2.0, yes
45099.0, 0.0, 1.0, no
5546.0, 1679.5, 2.0, yes
2621.25, 2084.1866968916197, 4.0, yes
4142.2, 4316.611444177018, 5.0, yes
2243.3125, 2173.3151223634713, 8.0, yes
38794.5, 0.0, 1.0, no
37848.5, 0.0, 1.0, no
615.0, 8.0, 2.0, yes
5139.416666666667, 9829.797943907877, 6.0, yes
14716.0, 0.0, 1.0, yes
9907.5, 13169.766973071315, 4.0, yes
46225.0, 0.0, 1.0, no
18880.0, 0.0, 1.0, no
1565.5, 749.9775829983187, 4.0, yes
1496.9166666666667, 1134.653082688958, 6.0, yes
136.0, 6.5, 2.0, yes
8020.75, 5969.817852120783, 4.0, yes
